fold,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,average_precision,mcc,tn,fp,fn,tp
1,0.5200000000000002,0.8695652173913043,0.8695652173913043,0.9047619047619048,0.8260869565217391,0.9130434782608695,0.8636363636363636,0.9678638941398865,0.9641484629053907,0.741940826802374,21,2,4,19
2,0.5200000000000002,0.8888888888888888,0.8903162055335969,0.95,0.8260869565217391,0.9545454545454546,0.8837209302325582,0.942687747035573,0.9517195511447766,0.7853022378314498,21,1,4,19
3,0.5600000000000003,0.9111111111111111,0.9120553359683794,0.9523809523809523,0.8695652173913043,0.9545454545454546,0.9090909090909091,0.9515810276679842,0.967089856828895,0.8257441932065536,21,1,3,20
4,0.5600000000000003,0.9111111111111111,0.9120553359683794,0.875,0.9545454545454546,0.8695652173913043,0.9130434782608695,0.9841897233201581,0.9837563951200314,0.8257441932065536,20,3,1,21
5,0.47000000000000025,0.9111111111111111,0.9110671936758893,0.9090909090909091,0.9090909090909091,0.9130434782608695,0.9090909090909091,0.9851778656126483,0.9844264069264068,0.8221343873517787,21,2,2,20
